08:25:51 INFO  run runs/extreme-full-1.6M-d256h8 | device=cuda | params=1564932 | d256/h8 budget 32 preset extreme-full budget_scale 1.000
08:25:51 INFO  run runs/extreme-full-1.6M-d256h8 | device=cuda | params=1564932 | d256/h8 budget 32 preset extreme-full budget_scale 1.000
08:27:15 INFO  step    100 | loss 2.9145 | cell 0.109 | grid 0.000 | stop 32.0 | 1.2 it/s
08:27:15 INFO  step    100 | loss 2.9145 | cell 0.109 | grid 0.000 | stop 32.0 | 1.2 it/s
08:28:39 INFO  step    200 | loss 2.9163 | cell 0.111 | grid 0.000 | stop 32.0 | 1.2 it/s
08:28:39 INFO  step    200 | loss 2.9163 | cell 0.111 | grid 0.000 | stop 32.0 | 1.2 it/s
08:30:03 INFO  step    300 | loss 3.2406 | cell 0.111 | grid 0.000 | stop 32.0 | 1.2 it/s
08:30:03 INFO  step    300 | loss 3.2406 | cell 0.111 | grid 0.000 | stop 32.0 | 1.2 it/s
08:31:27 INFO  step    400 | loss 2.9303 | cell 0.115 | grid 0.000 | stop 32.0 | 1.2 it/s
08:31:27 INFO  step    400 | loss 2.9303 | cell 0.115 | grid 0.000 | stop 32.0 | 1.2 it/s
08:32:51 INFO  step    500 | loss 2.9284 | cell 0.112 | grid 0.000 | stop 32.0 | 1.2 it/s
08:32:51 INFO  step    500 | loss 2.9284 | cell 0.112 | grid 0.000 | stop 32.0 | 1.2 it/s
08:34:15 INFO  step    600 | loss 2.9773 | cell 0.115 | grid 0.000 | stop 32.0 | 1.2 it/s
08:34:15 INFO  step    600 | loss 2.9773 | cell 0.115 | grid 0.000 | stop 32.0 | 1.2 it/s
08:35:39 INFO  step    700 | loss 2.9144 | cell 0.123 | grid 0.000 | stop 32.0 | 1.2 it/s
08:35:39 INFO  step    700 | loss 2.9144 | cell 0.123 | grid 0.000 | stop 32.0 | 1.2 it/s
08:37:03 INFO  step    800 | loss 2.9191 | cell 0.109 | grid 0.000 | stop 32.0 | 1.2 it/s
08:37:03 INFO  step    800 | loss 2.9191 | cell 0.109 | grid 0.000 | stop 32.0 | 1.2 it/s
08:38:27 INFO  step    900 | loss 2.9152 | cell 0.112 | grid 0.000 | stop 32.0 | 1.2 it/s
08:38:27 INFO  step    900 | loss 2.9152 | cell 0.112 | grid 0.000 | stop 32.0 | 1.2 it/s
