step,acc64
2999,0.7078
3999,0.7488
4999,0.7619
5999,0.775
6999,0.7814
7999,0.791
8999,0.8035
9999,0.8083
10999,0.8234
11999,0.8274
12999,0.824
13999,0.8343
14999,0.8342
15999,0.8393
16999,0.85
17999,0.839
18999,0.853
19999,0.8534
20999,0.8499
21999,0.8514
22999,0.8542
23999,0.8589
23999,0.8586
24999,0.8553
25999,0.8528
26999,0.8581
27999,0.8524
28999,0.8588
29999,0.8662
30999,0.8603
31999,0.8684
32999,0.8675
33999,0.8621
34999,0.8711
35999,0.8719
36999,0.8647
37999,0.8609
38999,0.8774
39999,0.8756
40999,0.8724
41999,0.8803
